Rank,Release Group,Worldwide,Domestic,%,Foreign,%
226,Fate/Grand Order the Sacred Round Table Realm: Camelot,"$3,562,221",-,-,"$3,562,221",100%
227,Radioactive,"$3,515,958",-,-,"$3,515,958",100%
228,Le lion,"$3,507,711",-,-,"$3,507,711",100%
229,18 Presents,"$3,486,375",-,-,"$3,486,375",100%
230,Pretty Cure Miracle Leap the Movie,"$3,474,150",-,-,"$3,474,150",100%
231,Summer of 85,"$3,442,522",-,-,"$3,442,522",100%
232,I Wish Someone Were Waiting for Me Somewhere,"$3,403,477",-,-,"$3,403,477",100%
233,Two by Two: Overboard!,"$3,402,105",-,-,"$3,402,105",100%
234,The Last Full Measure,"$3,364,426","$2,949,212",87.7%,"$415,214",12.3%
235,2020 Oscar Nominated Short Films,"$3,306,611","$3,306,611",100%,-,-
236,Ava,"$3,290,913","$497,747",15.1%,"$2,793,166",84.9%
237,Far Too Personal,"$3,272,428",-,-,"$3,272,428",100%
238,Voice of Silence,"$3,271,053",-,-,"$3,271,053",100%
239,Arab Blues,"$3,210,639",-,-,"$3,210,639",100%
240,Samsam,"$3,194,118","$53,273",1.7%,"$3,140,845",98.3%
241,The Secret: Dare to Dream,"$3,184,114",-,-,"$3,184,114",100%
242,The Lodge,"$3,155,858","$2,138,907",67.8%,"$1,016,951",32.2%
243,Petla,"$3,144,572",-,-,"$3,144,572",100%
244,Star Wars: Episode V - The Empire Strikes Back 2020 Re-release,"$3,136,150","$2,482,000",79.1%,"$654,150",20.9%
245,Words on Bathroom Walls,"$3,073,857","$2,542,518",82.7%,"$531,339",17.3%
246,The Wedding Unplanner,"$3,069,303",-,-,"$3,069,303",100%
247,Oversize Love,"$3,013,782",-,-,"$3,013,782",100%
248,The Enigma of Arrival,"$3,002,045",-,-,"$3,002,045",100%
249,Les traducteurs,"$2,994,237",-,-,"$2,994,237",100%
250,Appearances,"$2,991,236",-,-,"$2,991,236",100%
251,My Cousin,"$2,974,059",-,-,"$2,974,059",100%
252,It's for Your Own Good,"$2,966,418",$256,<0.1%,"$2,966,162",100%
253,Men at Work: Miami,"$2,906,158",-,-,"$2,906,158",100%
254,Caught in the Net,"$2,894,447",-,-,"$2,894,447",100%
255,Scumbag,"$2,876,675",-,-,"$2,876,675",100%
256,Life as It Should Be,"$2,870,736",-,-,"$2,870,736",100%
257,Poly,"$2,848,933",-,-,"$2,848,933",100%
258,Zenek,"$2,832,175",-,-,"$2,832,175",100%
259,Das geheime Leben der Bäume,"$2,737,511",-,-,"$2,737,511",100%
